Date,Open,High,Low,Close,Volume,Name
1/2/15,111.389999,111.440002,107.349998,109.330002,53204600,AAPL
1/5/15,108.290001,108.650002,105.410004,106.25,64285500,AAPL
1/6/15,106.540001,107.43,104.629997,106.260002,65797100,AAPL
1/7/15,107.199997,108.199997,106.699997,107.75,40105900,AAPL
1/8/15,109.230003,112.150002,108.699997,111.889999,59364500,AAPL
1/9/15,112.669998,113.25,110.209999,112.010002,53699500,AAPL
1/12/15,112.599998,112.629997,108.800003,109.25,49650800,AAPL
1/13/15,111.43,112.800003,108.910004,110.220001,67091900,AAPL
1/14/15,109.040001,110.489998,108.5,109.800003,48956600,AAPL
1/15/15,110,110.059998,106.660004,106.82,60014000,AAPL
1/16/15,107.029999,107.580002,105.199997,105.989998,78513300,AAPL
1/20/15,107.839996,108.970001,106.5,108.720001,49899900,AAPL
1/21/15,108.949997,111.059998,108.269997,109.550003,48575900,AAPL
1/22/15,110.260002,112.470001,109.720001,112.400002,53796400,AAPL
1/23/15,112.300003,113.75,111.529999,112.980003,46464800,AAPL
1/26/15,113.739998,114.360001,112.800003,113.099998,55615000,AAPL
1/27/15,112.419998,112.480003,109.029999,109.139999,95568700,AAPL
1/28/15,117.629997,118.120003,115.309998,115.309998,146477100,AAPL
1/29/15,116.32,119.190002,115.559998,118.900002,84436400,AAPL
1/30/15,118.400002,120,116.849998,117.160004,83745500,AAPL
2/2/15,118.050003,119.169998,116.080002,118.629997,62739100,AAPL
2/3/15,118.5,119.089996,117.610001,118.650002,51915700,AAPL
2/4/15,118.5,120.510002,118.309998,119.559998,70149700,AAPL
2/5/15,120.019997,120.230003,119.25,119.940002,42246200,AAPL
2/6/15,120.019997,120.25,118.449997,118.93,43706600,AAPL
2/9/15,118.550003,119.839996,118.43,119.720001,38889800,AAPL
2/10/15,120.169998,122.150002,120.160004,122.019997,62008500,AAPL
2/11/15,122.769997,124.919998,122.5,124.879997,73561800,AAPL
2/12/15,126.059998,127.480003,125.57,126.459999,74474500,AAPL
2/13/15,127.279999,127.279999,125.650002,127.080002,54272200,AAPL
2/17/15,127.489998,128.880005,126.919998,127.830002,63152400,AAPL
2/18/15,127.629997,128.779999,127.449997,128.720001,44891700,AAPL
2/19/15,128.479996,129.029999,128.330002,128.449997,37362400,AAPL
2/20/15,128.619995,129.5,128.050003,129.5,48948400,AAPL
2/23/15,130.020004,133,129.660004,133,70974100,AAPL
2/24/15,132.940002,133.600006,131.169998,132.169998,69228100,AAPL
2/25/15,131.559998,131.600006,128.149994,128.789993,74711700,AAPL
2/26/15,128.789993,130.869995,126.610001,130.419998,91287500,AAPL
2/27/15,130,130.570007,128.240005,128.460007,62014800,AAPL
3/2/15,129.25,130.279999,128.300003,129.089996,48096700,AAPL
3/3/15,128.960007,129.520004,128.089996,129.360001,37816300,AAPL
3/4/15,129.100006,129.559998,128.320007,128.539993,31666300,AAPL
3/5/15,128.580002,128.75,125.760002,126.410004,56517100,AAPL
3/6/15,128.399994,129.369995,126.260002,126.599998,72842100,AAPL
3/9/15,127.959999,129.570007,125.059998,127.139999,88528500,AAPL
3/10/15,126.410004,127.220001,123.800003,124.510002,68856600,AAPL
3/11/15,124.75,124.769997,122.110001,122.239998,68939000,AAPL
3/12/15,122.309998,124.900002,121.629997,124.449997,48362700,AAPL
3/13/15,124.400002,125.400002,122.580002,123.589996,51827300,AAPL
